Year,Date,Cultivar,LTE_C
2018_19,2/19/19,BR,-28.6
2018_19,2/19/19,BR,-28.6
2018_19,3/11/19,LC,-28.6
2019_20,1/16/20,FR,-28.6
2019_20,1/29/20,MQ,-28.6
2019_20,2/13/20,FR,-28.6
2021_22,12/22/21,BR,-28.6
2021_22,12/22/21,LC,-28.6
2018_19,1/4/19,BR,-28.5
2018_19,1/16/19,BR,-28.5
2018_19,2/19/19,BR,-28.5
2018_19,2/19/19,BR,-28.5
2018_19,2/19/19,FR,-28.5
2018_19,2/19/19,LC,-28.5
2018_19,2/19/19,MQ,-28.5
2018_19,2/19/19,MQ,-28.5
2018_19,2/19/19,MQ,-28.5
2018_19,3/11/19,BR,-28.5
2018_19,3/11/19,FR,-28.5
2018_19,3/11/19,LC,-28.5
2018_19,3/11/19,MQ,-28.5
2018_19,3/11/19,PP,-28.5
2018_19,3/11/19,PP,-28.5
2019_20,12/18/19,LC,-28.5
2019_20,12/18/19,MQ,-28.5
2019_20,1/16/20,BR,-28.5
2019_20,1/29/20,FR,-28.5
2021_22,11/23/21,FR,-28.5
2021_22,11/23/21,MQ,-28.5
2021_22,1/19/22,PP,-28.5
2021_22,1/19/22,PP,-28.5
2018_19,1/4/19,FR,-28.4
2018_19,1/16/19,FR,-28.4
2018_19,2/5/19,LC,-28.4
2018_19,2/19/19,FR,-28.4
2018_19,2/19/19,FR,-28.4
2018_19,2/19/19,LC,-28.4
2018_19,2/19/19,LC,-28.4
2018_19,2/19/19,PP,-28.4
2018_19,3/11/19,FR,-28.4
2018_19,3/11/19,LC,-28.4
2019_20,12/18/19,LC,-28.4
2019_20,1/29/20,BR,-28.4
2019_20,2/13/20,BR,-28.4
2019_20,3/4/20,FR,-28.4
2021_22,12/22/21,LC,-28.4
2021_22,12/22/21,MQ,-28.4
2018_19,12/19/18,BR,-28.3
2018_19,1/16/19,BR,-28.3
2018_19,1/16/19,MQ,-28.3
2018_19,2/5/19,BR,-28.3
2018_19,2/5/19,FR,-28.3
2018_19,2/19/19,BR,-28.3
2018_19,2/19/19,MQ,-28.3
2018_19,2/19/19,PP,-28.3
2018_19,3/11/19,FR,-28.3
2018_19,3/11/19,LC,-28.3
2019_20,12/18/19,LC,-28.3
2019_20,1/16/20,BR,-28.3
2021_22,12/22/21,FR,-28.3
2021_22,1/19/22,FR,-28.3
2021_22,1/19/22,MQ,-28.3
2021_22,1/19/22,PP,-28.3
2021_22,1/19/22,PP,-28.3
2018_19,2/5/19,FR,-28.2
2018_19,2/5/19,FR,-28.2
2018_19,2/5/19,LC,-28.2
2018_19,2/5/19,MQ,-28.2
2018_19,2/5/19,PP,-28.2
2018_19,2/19/19,FR,-28.2
2018_19,2/19/19,LC,-28.2
2018_19,2/19/19,MQ,-28.2
2018_19,2/19/19,MQ,-28.2
2018_19,2/19/19,MQ,-28.2
2018_19,3/11/19,BR,-28.2
2018_19,3/11/19,BR,-28.2
2018_19,3/11/19,LC,-28.2
2019_20,12/18/19,BR,-28.2
2019_20,12/18/19,LC,-28.2
2019_20,1/16/20,BR,-28.2
2019_20,1/16/20,FR,-28.2
2019_20,1/29/20,BR,-28.2
2019_20,1/29/20,BR,-28.2
2019_20,2/13/20,BR,-28.2
2019_20,2/13/20,FR,-28.2
2019_20,2/13/20,LC,-28.2
2019_20,2/13/20,LC,-28.2
2021_22,12/22/21,BR,-28.2
2021_22,1/19/22,BR,-28.2
2021_22,11/23/21,LC,-28.2
2021_22,12/22/21,LC,-28.2
2021_22,12/22/21,PP,-28.2
2018_19,12/19/18,BR,-28.1
2018_19,12/19/18,BR,-28.1
2018_19,12/19/18,MQ,-28.1
2018_19,1/16/19,BR,-28.1
2018_19,1/16/19,LC,-28.1
2018_19,1/16/19,MQ,-28.1
2018_19,2/5/19,FR,-28.1
2018_19,2/19/19,BR,-28.1
2018_19,2/19/19,BR,-28.1
2018_19,2/19/19,PP,-28.1
2018_19,3/11/19,BR,-28.1
2018_19,3/11/19,MQ,-28.1
2019_20,12/18/19,LC,-28.1
2019_20,1/16/20,MQ,-28.1
2019_20,1/29/20,BR,-28.1
2019_20,2/13/20,LC,-28.1
2019_20,2/13/20,MQ,-28.1
2019_20,2/13/20,PP,-28.1
2021_22,12/22/21,BR,-28.1
2021_22,12/22/21,FR,-28.1
2021_22,11/23/21,LC,-28.1
2021_22,11/23/21,LC,-28.1
2021_22,1/19/22,LC,-28.1
2021_22,11/23/21,MQ,-28.1
2021_22,12/22/21,MQ,-28.1
2021_22,1/19/22,MQ,-28.1
2021_22,1/19/22,PP,-28.1
2021_22,1/19/22,PP,-28.1
2018_19,1/4/19,BR,-28
2018_19,1/4/19,MQ,-28
2018_19,1/16/19,FR,-28
2018_19,1/16/19,LC,-28
2018_19,2/5/19,BR,-28
2018_19,2/5/19,BR,-28
2018_19,2/5/19,LC,-28
2018_19,2/19/19,BR,-28
2018_19,2/19/19,FR,-28
2018_19,2/19/19,LC,-28
2018_19,2/19/19,PP,-28
2018_19,2/19/19,PP,-28
2018_19,3/11/19,BR,-28
2018_19,3/11/19,BR,-28
2018_19,3/11/19,BR,-28
2018_19,3/11/19,FR,-28
2018_19,3/11/19,LC,-28
2018_19,3/11/19,LC,-28
2018_19,3/11/19,MQ,-28
2019_20,12/18/19,LC,-28
2019_20,12/18/19,LC,-28
2019_20,1/16/20,BR,-28
2019_20,1/16/20,BR,-28
2019_20,1/29/20,BR,-28
2019_20,1/29/20,MQ,-28
2021_22,11/23/21,LC,-28
2021_22,12/22/21,LC,-28
2021_22,12/22/21,MQ,-28
2021_22,1/19/22,PP,-28
2021_22,1/19/22,PP,-28
2018_19,12/19/18,BR,-27.9
2018_19,2/5/19,FR,-27.9
2018_19,2/5/19,LC,-27.9
2018_19,2/19/19,BR,-27.9
2018_19,2/19/19,FR,-27.9
2018_19,2/19/19,MQ,-27.9
2018_19,2/19/19,PP,-27.9
2018_19,3/11/19,PP,-27.9
2019_20,12/18/19,FR,-27.9
2019_20,1/16/20,BR,-27.9
2019_20,1/16/20,BR,-27.9
2019_20,1/29/20,BR,-27.9
2019_20,2/13/20,LC,-27.9
2021_22,12/22/21,FR,-27.9
2021_22,1/19/22,FR,-27.9
2021_22,1/19/22,FR,-27.9
2021_22,1/19/22,LC,-27.9
2021_22,11/23/21,MQ,-27.9
2021_22,12/22/21,MQ,-27.9
2021_22,1/19/22,MQ,-27.9
2018_19,12/19/18,BR,-27.8
2018_19,12/19/18,FR,-27.8
2018_19,12/19/18,PP,-27.8
2018_19,1/16/19,BR,-27.8
2018_19,1/16/19,MQ,-27.8
2018_19,1/16/19,MQ,-27.8
2018_19,1/16/19,MQ,-27.8
2018_19,2/5/19,FR,-27.8
2018_19,2/5/19,LC,-27.8
2018_19,2/5/19,LC,-27.8
2018_19,2/5/19,MQ,-27.8
2018_19,2/19/19,LC,-27.8
2018_19,2/19/19,PP,-27.8
2018_19,3/11/19,BR,-27.8
2018_19,3/11/19,MQ,-27.8
2019_20,12/18/19,LC,-27.8
2019_20,12/18/19,LC,-27.8
2019_20,12/18/19,MQ,-27.8
2019_20,1/3/20,MQ,-27.8
2019_20,1/16/20,BR,-27.8
2019_20,1/16/20,FR,-27.8
2019_20,1/16/20,MQ,-27.8
2019_20,2/13/20,BR,-27.8
2021_22,12/22/21,BR,-27.8
2021_22,1/19/22,BR,-27.8
2021_22,11/23/21,LC,-27.8
2021_22,11/23/21,LC,-27.8
2021_22,12/22/21,LC,-27.8
2021_22,1/19/22,LC,-27.8
2021_22,1/19/22,LC,-27.8
2021_22,12/22/21,PP,-27.8
2018_19,11/23/18,LC,-27.7
2018_19,12/19/18,MQ,-27.7
2018_19,1/4/19,BR,-27.7
2018_19,1/4/19,BR,-27.7
2018_19,1/16/19,FR,-27.7
2018_19,1/16/19,MQ,-27.7
2018_19,2/5/19,FR,-27.7
2018_19,2/5/19,LC,-27.7
2018_19,2/5/19,MQ,-27.7
2018_19,2/5/19,PP,-27.7
2018_19,2/19/19,MQ,-27.7
2018_19,2/19/19,PP,-27.7
2018_19,3/11/19,BR,-27.7
2018_19,3/11/19,FR,-27.7
2018_19,3/11/19,FR,-27.7
2018_19,3/11/19,LC,-27.7
2018_19,3/11/19,LC,-27.7
2018_19,3/11/19,PP,-27.7
2018_19,3/11/19,PP,-27.7
2018_19,3/11/19,PP,-27.7
2019_20,1/16/20,BR,-27.7
2019_20,1/16/20,MQ,-27.7
2019_20,1/29/20,BR,-27.7
2019_20,1/29/20,LC,-27.7
2019_20,2/13/20,MQ,-27.7
2019_20,2/13/20,MQ,-27.7
2021_22,12/22/21,BR,-27.7
2021_22,11/23/21,FR,-27.7
2021_22,1/19/22,FR,-27.7
2021_22,11/23/21,LC,-27.7
2021_22,1/19/22,PP,-27.7
2021_22,1/19/22,PP,-27.7
2018_19,11/23/18,MQ,-27.6
2018_19,12/19/18,BR,-27.6
2018_19,12/19/18,MQ,-27.6
2018_19,12/19/18,MQ,-27.6
2018_19,1/16/19,BR,-27.6
2018_19,1/16/19,MQ,-27.6
2018_19,2/5/19,BR,-27.6
2018_19,2/5/19,LC,-27.6
2018_19,2/5/19,MQ,-27.6
2018_19,2/19/19,FR,-27.6
2018_19,2/19/19,FR,-27.6
2018_19,2/19/19,MQ,-27.6
2018_19,3/11/19,FR,-27.6
2018_19,3/11/19,FR,-27.6
2018_19,3/11/19,FR,-27.6
2018_19,3/11/19,FR,-27.6
2018_19,3/11/19,LC,-27.6
2018_19,3/11/19,LC,-27.6
2018_19,3/11/19,MQ,-27.6
2019_20,12/18/19,FR,-27.6
2019_20,12/18/19,LC,-27.6
2019_20,12/18/19,LC,-27.6
2019_20,12/18/19,LC,-27.6
2019_20,1/3/20,BR,-27.6
2019_20,1/16/20,FR,-27.6
2019_20,1/16/20,FR,-27.6
2019_20,1/16/20,FR,-27.6
2019_20,1/16/20,MQ,-27.6
2019_20,1/29/20,BR,-27.6
2019_20,1/29/20,FR,-27.6
2019_20,1/29/20,LC,-27.6
2019_20,2/13/20,BR,-27.6
2019_20,2/13/20,FR,-27.6
2019_20,2/13/20,LC,-27.6
2019_20,2/13/20,LC,-27.6
2019_20,2/26/20,FR,-27.6
2019_20,2/26/20,FR,-27.6
2021_22,12/22/21,BR,-27.6
2021_22,11/23/21,FR,-27.6
2021_22,12/22/21,FR,-27.6
2021_22,11/23/21,LC,-27.6
2021_22,11/23/21,LC,-27.6
2021_22,11/23/21,PP,-27.6
2018_19,12/19/18,FR,-27.5
2018_19,1/4/19,MQ,-27.5
2018_19,1/16/19,FR,-27.5
2018_19,2/5/19,BR,-27.5
2018_19,2/5/19,FR,-27.5
2018_19,2/5/19,LC,-27.5
2018_19,2/19/19,MQ,-27.5
2018_19,2/19/19,MQ,-27.5
2018_19,3/11/19,FR,-27.5
2018_19,3/11/19,MQ,-27.5
2018_19,3/11/19,PP,-27.5
2019_20,12/18/19,BR,-27.5
2019_20,12/18/19,FR,-27.5
2019_20,12/18/19,LC,-27.5
2019_20,1/29/20,BR,-27.5
2019_20,2/13/20,BR,-27.5
2019_20,2/13/20,LC,-27.5
2019_20,2/13/20,LC,-27.5
2019_20,2/13/20,MQ,-27.5
2019_20,2/26/20,FR,-27.5
2019_20,3/4/20,LC,-27.5
2021_22,11/23/21,LC,-27.5
2021_22,11/23/21,MQ,-27.5
2018_19,12/19/18,FR,-27.4
2018_19,1/4/19,LC,-27.4
2018_19,1/16/19,BR,-27.4
2018_19,1/16/19,BR,-27.4
2018_19,1/16/19,MQ,-27.4
2018_19,2/5/19,FR,-27.4
2018_19,2/5/19,FR,-27.4
2018_19,2/5/19,LC,-27.4
2018_19,2/5/19,MQ,-27.4
2018_19,2/5/19,MQ,-27.4
2018_19,2/5/19,MQ,-27.4
2018_19,2/5/19,PP,-27.4
2018_19,2/5/19,PP,-27.4
2018_19,2/19/19,LC,-27.4
2018_19,2/19/19,LC,-27.4
2018_19,2/19/19,MQ,-27.4
2018_19,2/19/19,PP,-27.4
2018_19,3/11/19,LC,-27.4
2018_19,3/11/19,LC,-27.4
2018_19,3/11/19,MQ,-27.4
2019_20,12/18/19,BR,-27.4
2019_20,12/18/19,BR,-27.4
2019_20,1/16/20,BR,-27.4
2019_20,1/16/20,BR,-27.4
2019_20,1/16/20,BR,-27.4
2019_20,1/16/20,LC,-27.4
2019_20,1/16/20,LC,-27.4
2019_20,1/29/20,BR,-27.4
2019_20,1/29/20,LC,-27.4
2019_20,1/29/20,LC,-27.4
2019_20,2/13/20,BR,-27.4
2019_20,2/13/20,LC,-27.4
2019_20,2/26/20,FR,-27.4
2019_20,2/26/20,MQ,-27.4
2019_20,3/4/20,FR,-27.4
2019_20,3/4/20,LC,-27.4
2021_22,12/22/21,FR,-27.4
2021_22,1/19/22,PP,-27.4
2021_22,1/19/22,PP,-27.4
2018_19,11/23/18,MQ,-27.3
2018_19,12/19/18,MQ,-27.3
2018_19,12/19/18,MQ,-27.3
2018_19,12/19/18,MQ,-27.3
2018_19,1/4/19,BR,-27.3
2018_19,1/4/19,BR,-27.3
2018_19,1/4/19,MQ,-27.3
2018_19,1/16/19,LC,-27.3
2018_19,2/19/19,BR,-27.3
2018_19,2/19/19,FR,-27.3
2018_19,2/19/19,MQ,-27.3
2018_19,3/11/19,FR,-27.3
2018_19,3/11/19,FR,-27.3
2018_19,3/11/19,LC,-27.3
2018_19,3/11/19,MQ,-27.3
2018_19,3/21/19,LC,-27.3
2019_20,12/18/19,FR,-27.3
2019_20,12/18/19,FR,-27.3
2019_20,1/16/20,BR,-27.3
2019_20,1/16/20,FR,-27.3
2019_20,1/16/20,FR,-27.3
2019_20,1/29/20,LC,-27.3
2019_20,2/13/20,FR,-27.3
2019_20,2/13/20,LC,-27.3
2019_20,2/13/20,LC,-27.3
2019_20,2/13/20,PP,-27.3
2019_20,3/4/20,BR,-27.3
2019_20,3/4/20,FR,-27.3
2019_20,3/4/20,FR,-27.3
2021_22,12/22/21,BR,-27.3
2021_22,11/23/21,FR,-27.3
2021_22,11/23/21,FR,-27.3
2021_22,1/19/22,LC,-27.3
2021_22,11/23/21,MQ,-27.3
2021_22,11/23/21,MQ,-27.3
2021_22,11/23/21,MQ,-27.3
2021_22,12/22/21,PP,-27.3
2021_22,1/19/22,PP,-27.3
2021_22,1/19/22,PP,-27.3
2018_19,12/19/18,BR,-27.2
2018_19,12/19/18,FR,-27.2
2018_19,12/19/18,MQ,-27.2
2018_19,1/4/19,BR,-27.2
2018_19,1/4/19,BR,-27.2
2018_19,1/4/19,FR,-27.2
2018_19,1/4/19,FR,-27.2
2018_19,1/16/19,BR,-27.2
2018_19,1/16/19,LC,-27.2
2018_19,2/5/19,LC,-27.2
2018_19,2/5/19,MQ,-27.2
2018_19,2/5/19,PP,-27.2
2018_19,2/5/19,PP,-27.2
2018_19,2/19/19,FR,-27.2
2018_19,2/19/19,MQ,-27.2
2018_19,2/19/19,MQ,-27.2
2018_19,3/11/19,BR,-27.2
2018_19,3/11/19,PP,-27.2
2019_20,12/18/19,BR,-27.2
2019_20,12/18/19,BR,-27.2
2019_20,12/18/19,FR,-27.2
2019_20,12/18/19,LC,-27.2
2019_20,1/16/20,FR,-27.2
2019_20,1/16/20,FR,-27.2
2019_20,1/29/20,FR,-27.2
2019_20,1/29/20,LC,-27.2
2019_20,1/29/20,LC,-27.2
2019_20,1/29/20,PP,-27.2
2019_20,2/13/20,BR,-27.2
2019_20,2/13/20,MQ,-27.2
2019_20,2/13/20,MQ,-27.2
2019_20,2/13/20,MQ,-27.2
2019_20,2/13/20,MQ,-27.2
2019_20,2/26/20,FR,-27.2
2019_20,2/26/20,FR,-27.2
2019_20,2/26/20,LC,-27.2
2021_22,12/22/21,FR,-27.2
2021_22,1/19/22,LC,-27.2
2021_22,11/23/21,MQ,-27.2
2021_22,1/19/22,MQ,-27.2
2018_19,12/19/18,BR,-27.1
2018_19,1/4/19,FR,-27.1
2018_19,1/4/19,MQ,-27.1
2018_19,1/4/19,MQ,-27.1
2018_19,1/16/19,MQ,-27.1
2018_19,1/16/19,MQ,-27.1
2018_19,2/5/19,BR,-27.1
2018_19,2/5/19,FR,-27.1
2018_19,2/5/19,PP,-27.1
2018_19,2/19/19,BR,-27.1
2018_19,2/19/19,MQ,-27.1
2018_19,3/11/19,LC,-27.1
2018_19,3/11/19,LC,-27.1
2019_20,12/18/19,BR,-27.1
2019_20,12/18/19,FR,-27.1
2019_20,12/18/19,FR,-27.1
2019_20,12/18/19,LC,-27.1
2019_20,1/3/20,BR,-27.1
2019_20,1/3/20,MQ,-27.1
2019_20,1/16/20,LC,-27.1
2019_20,1/16/20,PP,-27.1
2019_20,1/29/20,BR,-27.1
2019_20,1/29/20,PP,-27.1
2019_20,2/13/20,FR,-27.1
2019_20,2/13/20,FR,-27.1
2019_20,2/13/20,FR,-27.1
2021_22,12/22/21,BR,-27.1
2021_22,11/23/21,LC,-27.1
2021_22,11/23/21,PP,-27.1
2018_19,12/19/18,BR,-27
2018_19,12/19/18,FR,-27
2018_19,12/19/18,LC,-27
2018_19,12/19/18,LC,-27
2018_19,12/19/18,MQ,-27
2018_19,1/4/19,FR,-27
2018_19,1/16/19,FR,-27
2018_19,1/16/19,FR,-27
2018_19,1/16/19,LC,-27
2018_19,2/5/19,FR,-27
2018_19,2/19/19,BR,-27
2018_19,2/19/19,BR,-27
2018_19,2/19/19,BR,-27
2018_19,2/19/19,FR,-27
2018_19,3/11/19,BR,-27
2018_19,3/11/19,BR,-27
2018_19,3/11/19,BR,-27
2019_20,12/18/19,BR,-27
2019_20,12/18/19,BR,-27
2019_20,12/18/19,FR,-27
2019_20,12/18/19,LC,-27
2019_20,12/18/19,LC,-27
2019_20,1/3/20,FR,-27
2019_20,1/16/20,BR,-27
2019_20,1/16/20,FR,-27
2019_20,1/16/20,FR,-27
2019_20,1/16/20,LC,-27
2019_20,1/16/20,MQ,-27
2019_20,1/29/20,LC,-27
2019_20,1/29/20,MQ,-27
2019_20,2/13/20,BR,-27
2019_20,2/13/20,LC,-27
2019_20,2/13/20,LC,-27
2019_20,2/13/20,MQ,-27
2019_20,2/13/20,MQ,-27
2019_20,2/13/20,PP,-27
2019_20,2/26/20,BR,-27
2019_20,2/26/20,BR,-27
2019_20,2/26/20,LC,-27
2019_20,2/26/20,MQ,-27
2019_20,3/4/20,FR,-27
2019_20,3/4/20,FR,-27
2019_20,3/4/20,LC,-27
2021_22,11/23/21,FR,-27
2021_22,11/23/21,MQ,-27
2021_22,11/23/21,MQ,-27
2021_22,12/22/21,MQ,-27
2021_22,12/22/21,PP,-27
2018_19,12/19/18,BR,-26.9
2018_19,12/19/18,LC,-26.9
2018_19,12/19/18,MQ,-26.9
2018_19,1/4/19,BR,-26.9
2018_19,1/4/19,BR,-26.9
2018_19,1/4/19,FR,-26.9
